STATE,NAME,ASSOCIATED QUERY,OFFICE,DISTRICT,ELECTION YEAR
TX,DAWN BUCKINGHAM,"BUCKINGHAM, DAWN C.",STATE SENATE,24,2020.0
TX,BRAD BUCKLEY,"BUCKLEY, BRADLEY L.",STATE HOUSE,54,2020.0
TX,JOHN H. BUCY,"BUCY III, JOHN H.",STATE HOUSE,136,2020.0
TX,DEWAYNE BURNS,"BURNS, DEWAYNE C.",STATE HOUSE,58,2020.0
TX,DUSTIN BURROWS,"BURROWS, DUSTIN R.",STATE HOUSE,83,2020.0
TX,ANGIE CHEN BUTTON,"BUTTON, ANGIE",STATE HOUSE,112,2020.0
TX,BRISCOE CAIN,"CAIN, BRISCOE R. ",STATE HOUSE,128,2020.0
TX,DONNA SUE CAMPBELL,"CAMPBELL, DONNA",STATE SENATE,25,2018.0
TX,ELIZABETH CAMPOS,"CAMPOS, ELIZABETH",STATE HOUSE,119,2020.0
TX,TERRY CANALES,"CANALES, TERRY ",STATE HOUSE,40,2020.0
TX,GIOVANNI CAPRIGLIONE,"CAPRIGLIONE, GIOVANNI S. ",STATE HOUSE,98,2020.0
TX,JEFF CASON,"CASON, JEFFREY ",STATE HOUSE,92,2020.0
TX,TRAVIS CLARDY,"CLARDY, TRAVIS ",STATE HOUSE,11,2020.0
TX,SHERYL COLE,"COLE, SHERYL N.",STATE HOUSE,46,2020.0
TX,GARNET F. COLEMAN,"COLEMAN, GARNET F.",STATE HOUSE,147,2020.0
TX,NICOLE COLLIER,"COLLIER, NICOLE D.",STATE HOUSE,95,2020.0
TX,DAVID L. COOK,"COOK, DAVID L. ",STATE HOUSE,96,2020.0
TX,PHILIP A. CORTEZ,"CORTEZ, PHILIP ",STATE HOUSE,117,2020.0
TX,THOMAS RUSSELL CRADDICK,"CRADDICK, TOM",STATE HOUSE,82,2020.0
TX,BRANDON CREIGHTON,FRIENDS OF BRANDON CREIGHTON,STATE SENATE,4,2020.0
TX,JASMINE FELICIA CROCKETT,"CROCKETT, JASMINE",STATE HOUSE,100,2020.0
TX,JOHN P. CYRIER,"CYRIER, JOHN P. ",STATE HOUSE,17,2020.0
TX,DREW DARBY,"DARBY, DREW ",STATE HOUSE,72,2020.0
TX,YVONNE DAVIS,"DAVIS, YVONNE ",STATE HOUSE,111,2020.0
TX,JAY DEAN,"DEAN, JAY ",STATE HOUSE,7,2020.0
TX,JOE DWAIN DESHOTEL,"DESHOTEL, JOSEPH D.",STATE HOUSE,22,2020.0
TX,ALEX DOMINGUEZ,"DOMINGUEZ, JESUS M. ",STATE HOUSE,37,2020.0
TX,HAROLD V. DUTTON,"DUTTON, HAROLD",STATE HOUSE,142,2020.0
TX,SARAH ECKHARDT,"ECKHARDT, SARAH",STATE SENATE,14,2020.0
TX,JAKE K. ELLZEY,"ELLZEY SR., JOHN K. ",STATE HOUSE,10,2020.0
TX,ART FIERRO,"FIERRO, PETER A. ",STATE HOUSE,79,2020.0
TX,JAMES B. FRANK,"FRANK, JAMES B. ",STATE HOUSE,69,2020.0
TX,JOHN M. FRULLO,"FRULLO, JOHN M. ",STATE HOUSE,84,2020.0
TX,GARY GATES,"GATES JR., GARY W. ",STATE HOUSE,28,2020.0
TX,CHARLIE L. GEREN,"GEREN, CHARLIE",STATE HOUSE,99,2020.0
TX,BARBARA GERVIN-HAWKINS,"HAWKINS, BARBARA",STATE HOUSE,120,2020.0
TX,CRAIG GOLDMAN,"GOLDMAN, CRAIG ",STATE HOUSE,97,2020.0
TX,MARY EDNA GONZALEZ,"GONZALEZ, MARY",STATE HOUSE,75,2020.0
TX,JESSICA GONZALEZ,"GONZALEZ, JESSICA A.",STATE HOUSE,104,2020.0
TX,VIKKI GOODWIN,"GOODWIN, VIKKI A.",STATE HOUSE,47,2020.0
TX,ROBERT GUERRA,"GUERRA, ROBERTO ",STATE HOUSE,41,2020.0
TX,RYAN GUILLÉN,"GUILLEN, RYAN",STATE HOUSE,31,2020.0
TX,ROLAND GUTIERREZ,"GUTIERREZ, ROLANDO ",STATE SENATE,19,2020.0
TX,BOB HALL,"HALL III, ROBERT L.",STATE SENATE,2,2018.0
TX,KELLY HANCOCK,"HANCOCK, KELLY",STATE SENATE,9,2018.0
TX,E. SAM HARLESS,"HARLESS, ERIC ",STATE HOUSE,126,2020.0
TX,CODY HARRIS,"HARRIS, CODY J. ",STATE HOUSE,8,2020.0
TX,COLE HEFNER,"HEFNER, JOSEPH COLE ",STATE HOUSE,5,2020.0
TX,ANA E. HERNANDEZ,"HERNANDEZ, ANA",STATE HOUSE,143,2020.0
TX,ABEL HERRERO,"HERRERO, ABEL ",STATE HOUSE,34,2020.0
TX,JUAN HINOJOSA,"HINOJOSA, JUAN ",STATE SENATE,20,2020.0
TX,GINA HINOJOSA,"HINOJOSA, REGINA",STATE HOUSE,49,2020.0
TX,JUSTIN HOLLAND,"HOLLAND, JUSTIN A. ",STATE HOUSE,33,2020.0
TX,DONNA HOWARD,"HOWARD, DONNA S. ",STATE HOUSE,48,2020.0
TX,DANIEL G. HUBERTY,"HUBERTY, DAN",STATE HOUSE,127,2020.0
TX,JOAN HUFFMAN,"HUFFMAN, C. JOAN",STATE SENATE,17,2018.0
TX,BRYAN HUGHES,"HUGHES, D. BRYAN ",STATE SENATE,1,2020.0
TX,LACEY HULL,"HULL, LACEY M.",STATE HOUSE,138,2020.0
TX,TODD AMES HUNTER,"HUNTER, TODD ",STATE HOUSE,32,2020.0
TX,CELIA ISRAEL,"ISRAEL, CELIA M.",STATE HOUSE,50,2020.0
TX,JACEY JETTON,"JETTON, JACEY R. ",STATE HOUSE,26,2020.0
TX,JARVIS D. JOHNSON,"JOHNSON, JARVIS ",STATE HOUSE,139,2020.0
TX,ANN JOHNSON,"JOHNSON, ANN",STATE HOUSE,134,2020.0
TX,JULIE JOHNSON,"JOHNSON, JULIE",STATE HOUSE,115,2020.0
TX,NATHAN JOHNSON,"JOHNSON, NATHAN M. ",STATE SENATE,16,2018.0
TX,KYLE J. KACAL,"KACAL, KYLE J. ",STATE HOUSE,12,2020.0
TX,TRACY OGDEN KING,"KING, TRACY ",STATE HOUSE,80,2020.0
TX,PHIL S. KING,"KING, PHILLIP S. PHIL",STATE HOUSE,61,2020.0
TX,KEN KING,"KING, KENNETH P.",STATE HOUSE,88,2020.0
TX,STEPHANIE KLICK,"KLICK, STEPHANIE",STATE HOUSE,91,2020.0
TX,LOIS W. KOLKHORST,"KOLKHORST, LOIS W.",STATE SENATE,18,2020.0
TX,MATT KRAUSE,"KRAUSE, MATT ",STATE HOUSE,93,2020.0
TX,JOHN L. KUEMPEL,"KUEMPEL, JOHN",STATE HOUSE,44,2020.0
TX,STAN LAMBERT,"LAMBERT, STANDARD D.",STATE HOUSE,71,2020.0
TX,BROOKS LANDGRAF,"LANDGRAF, BROOKS FREDERICK ",STATE HOUSE,81,2020.0
TX,LYLE T. LARSON,"LARSON, LYLE T. ",STATE HOUSE,122,2020.0
TX,JEFF LEACH,"LEACH, JEFF C. ",STATE HOUSE,67,2020.0
TX,BEN LEMAN,"LEMAN, BENJAMIN H.",STATE HOUSE,13,2020.0
TX,OSCAR LONGORIA,"LONGORIA JR., OSCAR L. ",STATE HOUSE,35,2020.0
TX,RAY LOPEZ,"LOPEZ, RAYNALDO T.",STATE HOUSE,125,2020.0
TX,JOSE M. LOZANO,"LOZANO, JOSE M. ",STATE HOUSE,43,2020.0
TX,EDUARDO LUCIO,"LUCIO III, EDUARDO A. ",STATE SENATE,27,2020.0
TX,EDUARDO LUCIO,"LUCIO III, EDUARDO A. ",STATE HOUSE,38,2020.0
TX,ARMANDO MARTINEZ,"MARTINEZ, ARMANDO A. ",STATE HOUSE,39,2020.0
TX,TREY MARTINEZ FISCHER,"MARTINEZ FISCHER, TREY ",STATE HOUSE,116,2020.0
TX,JOSÉ MENÉNDEZ,"MENENDEZ, JOSE",STATE SENATE,26,2020.0
TX,WILL METCALF,"METCALF, WILLIAM ",STATE HOUSE,16,2020.0
TX,MORGAN MEYER,"MEYER, MORGAN D. ",STATE HOUSE,108,2020.0
TX,THRESA MEZA,"MEZA, THRESA A.",STATE HOUSE,105,2020.0
TX,MAYES MIDDLETON,"MIDDLETON II, DAVID M. ",STATE HOUSE,23,2020.0
TX,BORRIS L. MILES,"MILES, BORRIS L.",STATE SENATE,13,2020.0
TX,INA MINJAREZ,"MINJAREZ, INA",STATE HOUSE,124,2020.0
TX,JOSEPH E. MOODY,"MOODY, JOSEPH E.",STATE HOUSE,78,2020.0
TX,CHRISTINA MORALES,"MORALES, CHRISTINA",STATE HOUSE,145,2020.0
TX,HERIBERTO MORALES,"MORALES JR., HERIBERTO ",STATE HOUSE,74,2020.0
TX,GEANIE W. MORRISON,"MORRISON, GEANIE W. ",STATE HOUSE,30,2020.0
TX,SERGIO MUNOZ,"MUNOZ JR., SERGIO ",STATE HOUSE,36,2020.0
TX,JIM MURPHY,FRIENDS OF JIM MURPHY,STATE HOUSE,133,2020.0
TX,ANDREW S. MURR,"MURR, ANDREW S. ",STATE HOUSE,53,2020.0
TX,VICTORIA NEAVE,"NEAVE, VICTORIA ",STATE HOUSE,107,2020.0
TX,JANE GRAY NELSON,"NELSON, JANE",STATE SENATE,12,2020.0
TX,ROBERT NICHOLS,"NICHOLS, ROBERT",STATE SENATE,3,2018.0
TX,CANDY NOBLE,"NOBLE, CANDACE T.",STATE HOUSE,89,2020.0
TX,TOM OLIVERSON,FRIENDS OF TOM OLIVERSON,STATE HOUSE,130,2020.0
TX,CLAUDIA ORDAZ-PEREZ,"ORDAZ PEREZ, CLAUDIA",STATE HOUSE,76,2020.0
TX,EVALINA ORTEGA,"ORTEGA, EVELINA",STATE HOUSE,77,2020.0
TX,LEO PACHECO,"PACHECO, LEO ",STATE HOUSE,118,2020.0
TX,CHRISTOPHER PADDIE,"PADDIE SR., CHRISTOPHER D. ",STATE HOUSE,9,2020.0
TX,TAN PARKER,"PARKER, TONYA",STATE HOUSE,63,2020.0
TX,DAN PATRICK,"PATRICK, DAN",LIEUTENANT GOVERNOR,,2018.0
TX,JARED PATTERSON,"PATTERSON, JARED L. ",STATE HOUSE,106,2020.0
TX,DENNIS PAUL,"PAUL, DENNIS R. ",STATE HOUSE,129,2020.0
TX,ANGELA PAXTON,"PAXTON, ANGELA",STATE SENATE,8,2018.0
TX,MARY ANN PEREZ,"PEREZ, MARY ANN G. ",STATE HOUSE,144,2020.0
TX,CHARLES LEE PERRY,"PERRY, CHARLES L ",STATE SENATE,28,2020.0
TX,DADE PHELAN,"PHELAN, MATTHEW M. ",STATE HOUSE,21,2020.0
TX,BEVERLY POWELL,"POWELL, BEVERLY VOLKMAN ",STATE SENATE,10,2018.0
TX,WALTER PRICE,"PRICE IV, WALTER T. ",STATE HOUSE,87,2020.0
TX,ANA-MARIA RAMOS,"RAMOS, ANA-MARIA",STATE HOUSE,102,2020.0
TX,JOHN RANEY,"RANEY, JOHN ",STATE HOUSE,14,2020.0
TX,RICHARD PENA RAYMOND,"RAYMOND, RICHARD",STATE HOUSE,42,2020.0
TX,RONALD REYNOLDS,"REYNOLDS, RONALD E. ",STATE HOUSE,27,2020.0
TX,EDDIE R. RODRIGUEZ,"RODRIGUEZ, EDDIE",STATE HOUSE,51,2020.0
TX,GLENN ROGERS,"ROGERS, GLENN M. ",STATE HOUSE,60,2020.0
TX,RAMON ROMERO,"ROMERO JR., RAMON ",STATE HOUSE,90,2020.0
TX,TONI ROSE,"ROSE, TONI N. ",STATE HOUSE,110,2020.0
TX,JON E. ROSENTHAL,"ROSENTHAL, JON E. ",STATE HOUSE,135,2020.0
TX,SCOTT SANFORD,"SANFORD, WILLIAM",STATE HOUSE,70,2020.0
TX,MATT SCHAEFER,"SCHAEFER, MATTHEW ",STATE HOUSE,6,2020.0
TX,MICHAEL SCHOFIELD,"SCHOFIELD, MICHAEL ",STATE HOUSE,132,2020.0
TX,CHARLES J. SCHWERTNER,"SCHWERTNER, CHARLES",STATE SENATE,5,2018.0
TX,KEL SELIGER,"SELIGER, KELTON G.",STATE SENATE,31,2018.0
TX,MATT SHAHEEN,"SHAHEEN, MATT F.",STATE HOUSE,66,2020.0
TX,PENNY MORALES SHAW,"SHAW, PENNY",STATE HOUSE,148,2020.0
TX,CARL O. SHERMAN,"SHERMAN SR., CARL ",STATE HOUSE,109,2020.0
TX,HUGH D. SHINE,"SHINE, HUGH D. ",STATE HOUSE,55,2020.0
TX,BRYAN SLATON,"SLATON, BRYAN L. ",STATE HOUSE,2,2020.0
TX,SHELBY SLAWSON,"SLAWSON, SHELBY L.",STATE HOUSE,59,2020.0
TX,REGGIE SMITH,"SMITH, REGINALD",STATE HOUSE,62,2020.0
TX,JOHN T. SMITHEE,"SMITHEE, JOHN T. ",STATE HOUSE,86,2020.0
TX,DAVID SPILLER,"SPILLER, DAVID L. ",STATE HOUSE,68,2021.0
TX,DREW SPRINGER,"SPRINGER JR., DREW ALAN ",STATE SENATE,30,2020.0
TX,PHILLIP WAYNE STEPHENSON,"STEPHENSON, PHYLLIP WAYNE ",STATE HOUSE,85,2020.0
TX,LYNN STUCKY,"STUCKY, LYNN D. ",STATE HOUSE,64,2020.0
TX,VALOREE SWANSON,"SWANSON, VALOREE H.",STATE HOUSE,150,2020.0
TX,JAMES D. TALARICO,"TALARICO, JAMES ",STATE HOUSE,52,2020.0
TX,LARRY TAYLOR,"TAYLOR, LARRY",STATE SENATE,11,2020.0
TX,CODY THANE VASUT,"VASUT, CODY T. ",STATE HOUSE,25,2020.0
TX,SHAWN NICOLE THIERRY,"THIERRY, SHAWN NICOLE",STATE HOUSE,146,2020.0
TX,SENFRONIA THOMPSON,"THOMPSON, SENFRONIA",STATE HOUSE,141,2020.0
TX,ED THOMPSON,FRIENDS OF ED THOMPSON,STATE HOUSE,29,2020.0
TX,TONY TINDERHOLT,"TINDERHOLT, TONY ",STATE HOUSE,94,2020.0
TX,STEVE TOTH,"TOTH, STEVE",STATE HOUSE,15,2020.0
TX,CHRIS TURNER,"TURNER, CHRISTOPHER",STATE HOUSE,101,2020.0
TX,JOHN TURNER,"TURNER, JOHN W. ",STATE HOUSE,114,2020.0
TX,GARY VANDEAVER,"VANDEAVER, GARY W. ",STATE HOUSE,1,2020.0
TX,HUBERT VO,"VO, HUBERT ",STATE HOUSE,149,2020.0
TX,ARMANDO LUCIO WALLE,"WALLE JR., ARMANDO ",STATE HOUSE,140,2020.0
TX,ROYCE WEST,"WEST, ROYCE",STATE SENATE,23,2018.0
TX,JAMES E. WHITE,"WHITE, JAMES",STATE HOUSE,19,2020.0
TX,JOHN WHITMIRE,"WHITMIRE, JOHN H",STATE SENATE,15,2018.0
TX,TERRY M. WILSON,"WILSON, TERRY M. ",STATE HOUSE,20,2020.0
TX,EUGENE WU,"WU, EUGENE ",STATE HOUSE,137,2020.0
TX,JUDITH ZAFFIRINI,"ZAFFIRINI, JUDITH ",STATE SENATE,21,2020.0
TX,ERIN ZWIENER,"ZWIENER, ERIN A.",STATE HOUSE,45,2020.0
UT,NELSON ABBOTT,"ABBOTT, NELSON",STATE HOUSE,60,2020.0
UT,CHERYL K. ACTON,"ACTON, CHERYL",STATE HOUSE,43,2020.0
UT,J. STUART ADAMS,"ADAMS, STUART",STATE SENATE,22,2018.0
UT,CARL R. ALBRECHT,"ALBRECHT, CARL",STATE HOUSE,70,2020.0
UT,JACOB L. ANDEREGG,"ANDEREGG, JACOB",STATE SENATE,13,2020.0
UT,MELISSA GARFF BALLARD,"BALLARD, MELISSA",STATE HOUSE,20,2020.0
UT,STEWART E. BARLOW,"BARLOW, STEWART",STATE HOUSE,17,2020.0
UT,GAY LYNN BENNION,"BENNION, GAY LYNN",STATE HOUSE,46,2020.0
UT,KERA BIRKELAND,"BIRKELAND, KERA",STATE HOUSE,53,2020.0
UT,CURTIS S. BRAMBLE,"BRAMBLE, CURTIS S",STATE SENATE,16,2020.0
UT,BRADY BRAMMER,"BRAMMER, BRADY",STATE HOUSE,27,2020.0
UT,JOEL K. BRISCOE,"BRISCOE, JOEL",STATE HOUSE,25,2020.0
UT,WALT BROOKS,"BROOKS, WALTER",STATE HOUSE,75,2020.0
UT,JEFFERSON S. BURTON,"BURTON, JEFFERSON",STATE HOUSE,66,2020.0
UT,GREGG BUXTON,"BUXTON, DAVID (GREGG)",STATE SENATE,20,2020.0
UT,SCOTT H. CHEW,"CHEW, SCOTT",STATE HOUSE,55,2020.0
UT,STEVE CHRISTIANSEN,"CHRISTIANSEN, STEPHEN",STATE HOUSE,47,2020.0
UT,KAY J. CHRISTOFFERSON,"CHRISTOFFERSON, KAY",STATE HOUSE,56,2020.0
UT,CLARE COLLARD,"COLLARD, CLARE",STATE HOUSE,22,2020.0
UT,SPENCER J. COX,"COX, SPENCER",GOVERNOR,,2020.0
UT,KIRK A. CULLIMORE,"CULLIMORE, KIRK",STATE SENATE,9,2018.0
UT,JEN DAILEY-PROVOST,"DAILEY-PROVOST, JEN",STATE HOUSE,24,2020.0
UT,GENE DAVIS,"DAVIS, GENE",STATE SENATE,3,2018.0
UT,JAMES DUNNIGAN,"DUNNIGAN, JIM",STATE HOUSE,39,2020.0
UT,STEVEN ELIASON,"ELIASON, STEVEN",STATE HOUSE,45,2020.0
UT,LUZ ROBLES ESCAMILLA,"ESCAMILLA (ROBLES), LUZ",STATE SENATE,1,2020.0
UT,JOEL FERRY,"FERRY, JOEL",STATE HOUSE,1,2020.0
UT,LINCOLN FILLMORE,"FILLMORE, LINCOLN",STATE SENATE,10,2020.0
UT,FRANCIS D. GIBSON,"GIBSON, FRANCIS D",STATE HOUSE,65,2020.0
UT,KEITH GROVER,"GROVER, KEITH",STATE SENATE,15,2018.0
UT,MATT GWYNN,"GWYNN, MATTHEW",STATE HOUSE,29,2020.0
UT,CRAIG HALL,"HALL, CRAIG",STATE HOUSE,33,2020.0
UT,STEPHEN G. HANDY,"HANDY, STEPHEN G.",STATE HOUSE,16,2020.0
UT,WAYNE A. HARPER,"HARPER, WAYNE",STATE SENATE,6,2020.0
UT,SUZANNE HARRISON,"HARRISON, SUZANNE",STATE HOUSE,32,2020.0
UT,TIMOTHY D. HAWKES,"HAWKES, TIMOTHY",STATE HOUSE,18,2020.0
UT,JON HAWKINS,"HAWKINS, JON",STATE HOUSE,57,2020.0
UT,DEIDRE M. HENDERSON,"HENDERSON, DEIDRE",LIEUTENANT GOVERNOR,,2020.0
UT,DAVID PARLEY HINKINS,"HINKINS, DAVID",STATE SENATE,27,2020.0
UT,SANDRA HOLLINS,"HOLLINS, SANDRA",STATE HOUSE,23,2020.0
UT,DON L. IPSON,"IPSON, DON L",STATE SENATE,29,2020.0
UT,JANI IWAMOTO,"IWAMOTO, JANI",STATE SENATE,4,2018.0
UT,DAN N. JOHNSON,"JOHNSON, DAN",STATE HOUSE,4,2020.0
UT,JOHN D. JOHNSON,"JOHNSON, JOHN",STATE SENATE,19,2020.0
UT,MARSHA JUDKINS,"JUDKINS, MARSHA",STATE HOUSE,61,2020.0
UT,MICHAEL S. KENNEDY,"KENNEDY, MICHAEL",STATE SENATE,14,2020.0
UT,BRIAN S. KING,"KING, BRIAN S",STATE HOUSE,28,2020.0
UT,DEREK LLOYD KITCHEN,"KITCHEN, DEREK",STATE SENATE,2,2018.0
UT,MICHAEL L. KOHLER,"KOHLER, MIKE",STATE HOUSE,54,2020.0
UT,KAREN KWAN,"KWAN, KAREN",STATE HOUSE,34,2020.0
UT,BRADLEY G. LAST,"LAST, BRADLEY G.",STATE HOUSE,71,2020.0
UT,ROSEMARY LESSER,"LESSER, ROSEMARY",STATE HOUSE,10,2020.0
UT,KARIANNE LISONBEE,"LISONBEE, KARIANNE",STATE HOUSE,14,2020.0
UT,STEVEN J. LUND,"LUND, STEVEN",STATE HOUSE,58,2020.0
UT,PHIL LYMAN,"LYMAN, PHILLIP",STATE HOUSE,73,2020.0
UT,CORY MALOY,"MALOY, CORY",STATE HOUSE,6,2020.0
UT,ASHLEE MATTHEWS,"MATTHEWS, ASHLEE",STATE HOUSE,38,2020.0
UT,KAREN MAYNE,"MAYNE, KAREN",STATE SENATE,5,2018.0
UT,DANIEL MCCAY,"MCCAY, DANIEL",STATE SENATE,11,2018.0
UT,MIKE K. MCKELL,"MCKELL, MIKE",STATE SENATE,7,2020.0
UT,KELLY B. MILES,"MILES, KELLY B.",STATE HOUSE,11,2020.0
UT,F. ANN MILLNER,"MILLNER, ANN",STATE SENATE,18,2018.0
UT,JEFFERSON R. MOSS,"MOSS, JEFFERSON",STATE HOUSE,2,2020.0
UT,CAROL SPACKMAN MOSS,"MOSS, CAROL SPACKMAN",STATE HOUSE,37,2020.0
UT,CALVIN R. MUSSELMAN,"MUSSELMAN, CALVIN",STATE HOUSE,9,2020.0
UT,MERRILL F. NELSON,"NELSON, MERRILL",STATE HOUSE,68,2020.0
UT,DOUG OWENS,"OWENS, DOUG",STATE HOUSE,36,2020.0
UT,DERRIN R. OWENS,"OWENS, DERRIN",STATE SENATE,24,2020.0
UT,MIKE PETERSEN,"PETERSEN, MICHAEL",STATE HOUSE,3,2020.0
UT,VAL L. PETERSON,"PETERSON, VAL",STATE HOUSE,59,2020.0
UT,CANDICE PIERUCCI,NOT FOUND,STATE HOUSE,52,2020.0
UT,STEPHANIE PITCHER,"PITCHER, STEPHANIE",STATE HOUSE,40,2020.0
UT,SUSAN PULSIPHER,"PULSIPHER, SUSAN",STATE HOUSE,50,2020.0
UT,PAUL RAY,"RAY, PAUL",STATE HOUSE,13,2020.0
UT,KATHLEEN RIEBE,"RIEBE, KATHLEEN",STATE SENATE,8,2020.0
UT,ADAM ROBERTSON,"ROBERTSON, ADAM",STATE HOUSE,63,2020.0
UT,ANGELA ROMERO,"ROMERO, ANGELA",STATE HOUSE,26,2020.0
UT,DOUGLAS V. SAGERS,"SAGERS, DOUGLAS",STATE HOUSE,21,2020.0
UT,SCOTT D. SANDALL,"SANDALL, SCOTT",STATE SENATE,17,2018.0
UT,MIKE SCHULTZ,"SCHULTZ, MIKE",STATE HOUSE,12,2020.0
UT,TRAVIS M. SEEGMILLER,"SEEGMILLER, TRAVIS",STATE HOUSE,62,2020.0
UT,REX P. SHIPP,"SHIPP, REX",STATE HOUSE,72,2020.0
UT,CASEY SNIDER,"SNIDER, CASEY",STATE HOUSE,5,2020.0
UT,V. LOWRY SNOW,"SNOW, V. LOWRY",STATE HOUSE,74,2020.0
UT,ROBERT SPENDLOVE,"SPENDLOVE, ROBERT",STATE HOUSE,49,2020.0
UT,JEFF STENQUIST,"STENQUIST, JEFF",STATE HOUSE,51,2020.0
UT,JERRY W. STEVENSON,"STEVENSON, JERRY W.",STATE SENATE,21,2018.0
UT,ANDREW STODDARD,"STODDARD, ANDREW",STATE HOUSE,44,2020.0
UT,KEVEN J. STRATTON,"STRATTON, KEVEN",STATE HOUSE,48,2020.0
UT,MARK A. STRONG,"STRONG, MARK",STATE HOUSE,41,2020.0
UT,JORDAN TEUSCHER,"TEUSCHER, JORDAN",STATE HOUSE,42,2020.0
UT,DANIEL W. THATCHER,"THATCHER, DANIEL W.",STATE SENATE,12,2018.0
UT,NORM K. THURSTON,"THURSTON, NORMAN",STATE HOUSE,64,2020.0
UT,EVAN J. VICKERS,"VICKERS, EVAN J",STATE SENATE,28,2018.0
UT,STEVE WALDRIP,"WALDRIP, STEVE",STATE HOUSE,8,2020.0
UT,RAYMOND WARD,"WARD, RAYMOND",STATE HOUSE,19,2020.0
UT,CHRISTINE F. WATKINS,"WATKINS, CHRISTINE F",STATE HOUSE,69,2020.0
UT,ELIZABETH WEIGHT,"WEIGHT, ELIZABETH",STATE HOUSE,31,2020.0
UT,TODD WEILER,"WEILER, TODD",STATE SENATE,23,2020.0
UT,DOUG WELTON,"WELTON, DOUGLAS",STATE HOUSE,67,2020.0
UT,MARK A. WHEATLEY,"WHEATLEY, MARK A",STATE HOUSE,35,2020.0
UT,RYAN WILCOX,"WILCOX, RYAN",STATE HOUSE,7,2020.0
UT,BRAD WILSON,"WILSON, BRAD R.",STATE HOUSE,15,2020.0
UT,CHRIS H. WILSON,"WILSON, CHRIS",STATE SENATE,25,2020.0
UT,MIKE WINDER,"WINDER, MIKE",STATE HOUSE,30,2020.0
UT,RONALD WINTERTON,"WINTERTON, RONALD",STATE SENATE,26,2018.0
VT,SALLY ACHEY,"ACHEY, SALLY KAYE",STATE HOUSE,RUTLAND-BENNINGTON,2020.0
VT,JANET ANCEL,"ANCEL, JANET",STATE HOUSE,WASHINGTON-6,2020.0
VT,PETER D. ANTHONY,"ANTHONY, PETER D",STATE HOUSE,WASHINGTON-3,2020.0
VT,JOHN ARRISON,"ARRISON, JOHN",STATE HOUSE,WINDSOR-2,2020.0
VT,SARAH AUSTIN,"AUSTIN, SARITA",STATE HOUSE,CHITTENDEN-9-2,2020.0
VT,REBECCA A. BALINT,"BALINT, BECCA ANNE",STATE SENATE,WINDHAM,2020.0
VT,JOHN L. BARTHOLOMEW,"BARTHOLOMEW, JOHN",STATE HOUSE,WINDSOR-1,2020.0
VT,PHILIP E. BARUTH,"BARUTH, PHILIP EDWARD",STATE SENATE,CHITTENDEN,2020.0
VT,LYNN D. BATCHELOR,NOT FOUND,STATE HOUSE,ORLEANS-1,2020.0
VT,SCOTT BECK,"BECK, SCOTT LAWRENCE",STATE HOUSE,CALEDONIA-3,2020.0
VT,JOSEPH CHARLES BENNING,"BENNING, JOE",STATE SENATE,CALEDONIA,2020.0
VT,MATT BIRONG,"BIRONG, MATTHEW",STATE HOUSE,ADDISON-3,2020.0
VT,ALYSSA HUGHES BLACK,"BLACK, ALYSSA",STATE HOUSE,CHITTENDEN-8-3,2020.0
VT,TIFF BLUEMLE,"BLUEMLE, TIFFANY W",STATE HOUSE,CHITTENDEN-6-5,2020.0
VT,THOMAS A. BOCK,"BOCK, THOMAS",STATE HOUSE,WINDSOR-3-1,2020.0
VT,SETH BONGARTZ,"BONGARTZ, SETH",STATE HOUSE,BENNINGTON-4,2020.0
VT,MICHELLE BOS-LUN,"BOS-LUN, MICHELLE CHRISTINE",STATE HOUSE,WINDHAM-4,2020.0
VT,ERIN BRADY,"BRADY, ERIN MCGUIRE",STATE HOUSE,CHITTENDEN-2,2020.0
VT,CHRISTOPHER A. BRAY,"BRAY, CHRISTOPHER A",STATE SENATE,ADDISON,2020.0
VT,PATRICK M. BRENNAN,NOT FOUND,STATE HOUSE,CHITTENDEN-9-2,2020.0
VT,TIM BRIGLIN,"BRIGLIN, TIM",STATE HOUSE,WINDSOR-ORANGE-2,2020.0
VT,RANDOLPH D. BROCK,"BROCK, RANDY",STATE SENATE,FRANKLIN,2020.0
VT,JANA BROWN,"BROWN, JANA MICHELLE",STATE HOUSE,CHITTENDEN-1,2020.0
VT,NELSON BROWNELL,"BROWNELL, NELSON",STATE HOUSE,BENNINGTON-1,2020.0
VT,JESSICA COMAI BRUMSTED,"BRUMSTED, JESSICA COMAI",STATE HOUSE,CHITTENDEN-5-2,2020.0
VT,THOMAS B. BURDITT,"BURDITT, THOMAS",STATE HOUSE,RUTLAND-2,2020.0
VT,MOLLIE S. BURKE,"BURKE, MOLLIE SULLIVAN",STATE HOUSE,WINDHAM-2-2,2020.0
VT,ELIZABETH BURROWS,"BURROWS, ELIZABETH CORNELL",STATE HOUSE,WINDSOR-1,2020.0
VT,SCOTT CAMPBELL,"CAMPBELL, SCOTT",STATE HOUSE,CALEDONIA-3,2020.0
VT,BRIAN A. CAMPION,"CAMPION, BRIAN",STATE SENATE,BENNINGTON,2020.0
VT,WILLIAM P. CANFIELD,"CANFIELD, WILLIAM PAUL",STATE HOUSE,RUTLAND-3,2020.0
VT,SETH CHASE,"CHASE, SETH",STATE HOUSE,CHITTENDEN-9-1,2020.0
